C01 TITLE: 30-minute meteorological data 
C02 FILE NAME: cmn644n00.isac.xx.xx.met.nl.ev2011.dat 
C03 DATA FORMAT: Version 1.1
C04 TOTAL LINES: 17552
C05 HEADER LINES: 32
C06 DATA VERSION: 201312
C07 STATION NAME: Monte Cimone
C08 STATION CATEGORY: Global
C09
C10 COUNTRY/TERRITORY: Italy
C11 CONTRIBUTOR: ISAC
C12 LATITUDE: 44.18
C13 LONGITUDE: 10.7
C14 ALTITUDE: 2165
C15
C16
C17
C18 PARAMETER: WD WS RH AP AT
C19 COVERING PERIOD: 2011-01-01 2011-12-31
C20 TIME INTERVAL: 30 minutes
C21 MEASUREMENT UNIT: deg m/s % hPa Celsius 
C22
C23
C24 TIME ZONE: Local time UTC+1
C25
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:  
C31
DATE  TIME    WD    WS    RH     AP    AT
2011-01-03 07:15 -99.9 -99.9  94.3  785.3  -8.8 
2011-01-03 07:45 -99.9 -99.9  94.6  785.5  -8.5 
2011-01-03 08:15 -99.9 -99.9  94.0  785.9  -8.6 
2011-01-03 08:45 -99.9 -99.9  94.3  785.9  -8.5 
2011-01-03 09:15 -99.9 -99.9  94.0  786.1  -8.4 
2011-01-03 09:45 -99.9 -99.9  95.0  786.2  -8.3 
2011-01-03 10:15 -99.9 -99.9  94.3  786.3  -8.3 
2011-01-03 10:45 -99.9 -99.9  93.3  786.7  -8.6 
2011-01-03 11:15 -99.9 -99.9  93.0  786.6  -8.9 
2011-01-03 11:45 -99.9 -99.9  93.2  786.5  -9.1 
2011-01-03 12:15 -99.9 -99.9  94.7  786.4  -8.8 
2011-01-03 12:45 -99.9 -99.9  94.2  786.2  -8.6 
2011-01-03 13:15 -99.9 -99.9  93.9  786.0  -8.6 
2011-01-03 13:45 -99.9 -99.9  93.0  786.0  -8.9 
2011-01-03 14:15 -99.9 -99.9  93.9  786.1  -9.0 
2011-01-03 14:45 -99.9 -99.9  93.9  786.2  -8.9 
2011-01-03 15:15 -99.9 -99.9  94.1  786.4  -8.8 
2011-01-03 15:45 -99.9 -99.9  94.1  786.5  -8.7 
2011-01-03 16:15 -99.9 -99.9  93.4  786.7  -8.8 
2011-01-03 16:45 -99.9 -99.9  92.8  786.8  -9.0 
2011-01-03 17:15 -99.9 -99.9  91.7  786.9  -9.6 
2011-01-03 17:45 -99.9 -99.9  91.8  787.2 -10.0 
2011-01-03 18:15 -99.9 -99.9  91.7  787.6 -10.2 
2011-01-03 18:45 -99.9 -99.9  92.4  788.0 -10.2 
2011-01-03 19:15 -99.9 -99.9  94.0  788.3  -9.7 
2011-01-03 19:45 -99.9 -99.9  93.3  788.3  -9.4 
2011-01-03 20:15 -99.9 -99.9  93.8  788.3  -9.1 
2011-01-03 20:45 -99.9 -99.9  93.6  788.2  -8.9 
2011-01-03 21:15 -99.9 -99.9  93.7  788.2  -8.8 
